Song,Artist,Lyrics
Don't Stop Believin',['Journey'],"
Just a small-town girl, livin' in a lonely world
She took the midnight train goin' anywhere
Just a city boy, born and raised in South Detroit
He took the midnight train goin' anywhere

A singer in a smoky room
The smell of wine and cheap perfume
For a smile, they can share the night
It goes on and on and on and on

Strangers waitin'
Up and down the boulevard
Their shadows searchin' in the night
Streetlights, people
Livin' just to find emotion
Hidin' somewhere in the night

Workin' hard to get my fill
Everybody wants a thrill
Payin' anything to roll the dice
Just one more time

Some will win, some will lose
Some are born to sing the blues
Oh, the movie never ends
It goes on and on and on and on

Strangers waitin'
Up and down the boulevard
Their shadows searchin' in the night
Streetlights, people
Livin' just to find emotion
Hidin' somewhere in the night


Don't stop
 
believin'
Hold on to that feelin'
Streetlights, people
Don't stop
 believin'
Hold on
Streetlights, people
Don't stop believin'
Hold on to that feelin'
Streetlights, people"
Creep,['Radiohead'],"
When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world
I wish I was special
, 
you're so fuckin' special

But I'm a creep, I'm a weirdo
What the hell am I doin' here?
I don't belong here

I don't care if it hurts, I wanna have control
I want a perfect body, I want a perfect soul
I want you to notice when I'm not around
You're so fuckin' special, I wish I was special

But I'm a creep, I'm a weirdo
What the hell am I doin' here?
I don't belong here
Oh-oh, oh-oh

She's runnin' out the door
She's runnin' out
She run, run, run, run
Run

Whatever makes you happy, whatever you want
You're so fuckin' special, I wish I was special
But I'm a creep, I'm a weirdo
What the hell am I doin' here?
I don't belong here
I don't belong here"
Beanie,['Chezile'],"
Geah.. whassup?
To all my street niggas, project niggas
Real niggas, worldwide
Let's reflect, everybody got a story
We all ghetto B, here's mine
Geah

See I was, born in sewage, born to make bomb music
Flow tight like I was born Jewish
Used the streets as a conduit
I kept arms .38 longs inside my mom's Buick
At any given moment Shawn could lose it, be on the news
Iron cuffs - arms through it, or stuffed with embalming fluid
Shit, I'm going through it - mom dukes too
Tears streaming down her pretty face, she got her palms to it
My life is getting too wild
I need to bring some sort of calm to it
Bout to lose it voices screaming ""Don't do it!""
It's like '93, '94,
 
'bout the year
That Big and Mack dropped and 
Illmatic
 rocked
Outta every rag drop, 
and the West had it locked
Everybody doing them, 
I'm still stretching on the block
Like ""Damn, I'ma be a failure""
Surrounded by thugs, drugs, and drug paraphernalia
Cops, courts, and their thoughts is to derail us
Three-time felons in shorts with jealous thoughts
Trying to figure where your mail is
Guesstimate the weight you selling
So they can send shots straight to your melon; wait!
It gets worse, baby momma water burst
Baby came out stillborn, still I gotta move on
Though my heart still torn, life gone from her womb
Don't worry, if it was meant to be, it'll be soon

This can't be life, this can't be love
This can't be right, there's gotta be more, this can't be us
This can't be life, this can't be love
This can't be right, there's gotta be more, this can't be us

Chill dog
Second oldest born, from Michelle Brown my mother
Hell bound, grew with two sisters and one brother
Pop wasn't around, so many stories that's another
I'm thinking ""Damn, how my older sister gon' make me tougher?""
When steel sharpens steel, I'ma keep it real
I'm tired of trying to hide my pain behind the syrups and pills
Dead to the world, stretched out like a corpse for real
Y'all niggas thinking what y'all reading in 
The Source
 is real
What my life like, you looking at the source, it's real
What your life like? Mine dog, of course it's real
Passing judgment, you niggas second-guessing Beans
'Cause you don't eat swine don't make you Mu'min
Dog you know a couple suras, out the Qur'an
I guess you all on your din and I ain't on mine
Stop that 
Akki
, 'fore I send shots through your body
Make 'em feel 
hell on earth
 before Allah drop me
I feel the line's drawn here, nutting more can stop me
'Til them feds pick me up, or them boys pop me
There's only three things that make Mack not act like Beans
Amatullah Tisha, Po Aldin, Samir Amin
My seeds dog, 
gotta teach 'em that before I leave, dog
Shit I know that I'ma see 'em when I leave, dog
I come back in the afterlife
Like fuck it, I done touched hell twice; what's the meaning?

This can't be life, this can't be love
This can't be right, there's gotta be more, this can't be us
This can't be life, this can't be love
This can't be right, there's gotta be more, this can't be us

Life.. yeah.. uhh..
Now as I walk into the studio to do this with Jig'
I got a phone call from one of my nigs
Said my homeboy Reek, he just lost one of his kids
And when I heard that I just broke into tears
And see in the second hand; you don't really know how this is
But when it hits that close to home you feel the pain at the crib
So I called mine, and saddened my wife with the bad news
Now we both depressed, counting our blessings 'cause Brad's two
Praying for young souls to laugh at life through the stars
Loving your kids just like you was ours
And I'm hurting for you dog; but ain't nobody pain is like yours
I just know that heaven'll open these doors
And ain't no bright side to losing life; but you can view it like this
God's got open hands homie, he in the midst
Of good company, who loves all and hates not one
And one day you gon' be with your son
I could've rapped about my hard times on this song
But heaven knows I woulda been wrong
I wouldn'ta been right, it wouldn'ta been love
It wouldn'ta been life, it wouldn'ta been us
This can't be life

This can't be life, this can't be love
This can't be right, there's gotta be more, this can't be us
This can't be life, this can't be love
This can't be right, there's gotta be more, this can't be us
This can't be life..."
Juno,['Sabrina Carpenter'],"


Don't have to tell your hot ass a thing
Oh yeah, you just get it
Whole package, babe, I like the way you fit
God bless your dad's genetics, mm, uh

You make me wanna make you fall in love
Oh, late at night, I'm thinking 'bout you, ah-ah
Wanna try out my fuzzy pink handcuffs?
Oh, I hear you knockin', baby, come on up

I know you want my touch for life
If you love me right, then who knows?
I might let you make me Juno
You know I just might
Let you lock me down tonight
One of me is cute, but two though?
Give it to me, baby
You make me wanna make you fall in love 

I showed my friends, then we high-fived 
Sorry if you feel objеctified 
Can't help myself, hormonеs are high
Give me more than just some butterflies

You make me wanna make you fall in love
Oh, late at night, I'm thinking 'bout you, ah-ah
Wanna try out some freaky positions?
Have you ever tried this one?

I know you want my touch for life
If you love me right, then who knows?
I might let you make me Juno
You know I just might
Let you lock me down tonight
One of me is cute, but two though?
Give it to me, baby
You make me wanna make you fall in love

Adore me
Hold me and explore me
Mark your territory 
Tell me I'm the only, only, only, only one 
Adore me
Hold me and explore me 
I'm so fuckin' horny
Tell me I'm the only, only, only, only one

Ah
Ooh-ooh

 I know you want my touch for life
If you love me right, then who knows?
I might let you make me Juno
You know I just might 
Let you lock me down tonight
One of me is cute, but two though?
Give it to me, baby
You make me wanna make you fall in love"
Christmas Magic,['Laufey'],"
Let me tell you
'Bout Christmas magic
It’s a wondrous thing to behold
When the snow starts fallin'
And mother's callin’
For you to put on your coat

Let me show you Christmas magic
It's the best kind of sorcery I know
With the angels singing
And sleigh bells ringing
Grandma's underneath the mistletoe

Reindeer flying past the moon
Ol' Saint Nick will be here soon
But don't be alarmed
It's all apart of Christmas charm
Now you know all about Christmas magic
You can tell this tale on your own
When it turns December, you must remember
Christmas magic, Christmas magic is here at home

Reindeer flying past the moon
Ol' Saint Nick will bе here soon
But don't be alarmеd
It’s all apart of Christmas charm
Now you know all about Christmas magic
You can tell this tale on your own
When it turns December, you must remember
This magic, Christmas magic
Magic, magic, Christmas magic
Christmas magic is here at home"
Push 2 Start,['Tyla'],"
Ayy
Ayy, yeah-yeah, yeah-yeah-yeah, yeah-yeah-yeah
Oh

The way we move, uh, skin onto skin
No separation, need no competition, na, na, na
Uh, on everything
It's automatic, goin' zero to a hun'-na, na
Ridin', wishin' the wheels would fall off
Time is tickin', it's takin' you too long
Ride before I decide to go home

Act like you heard me
Only serve it up if you deserve me, yeah
Pull up and earn me 
Push to start 
Act like you heard me
Only serve it up if you deserve me, yeah
Pull up and earn me 
Push to start 

Mm, pushin' on my buttons with no hesitation 
Gas me up, give me motivation 
So tell me where we goin', pick a destination 
Gas me up, give me motivation now 
Pushin' on my buttons with no hesitation 
Gas me up, give me motivation 
So tell me where we goin', pick a destination 
Gas me up, give me motivation now 

Come give me life, and I'll change yours
Who needs signs? I say floor it
On a high way we load it
Hold me, load me, hold me

Act like you heard me
Only serve it up if you deserve me, yeah
Pull up and earn me 
Push to start 
Act like you heard me
Only serve it up if you deserve me, yeah
Pull up and earn me 
Push to start 

Mm, pushin' on my buttons with no hesitation 
Gas me up, give me motivation 
So tell me where we goin', pick a destination 
Gas me up, give me motivation now 
Pushin' on my buttons with no hesitation 
Gas me up, give me motivation 
So tell me where we goin', pick a destination 
Gas me up, give me motivation now 

Give me life, I'll change yours
Who needs signs? I say floor it
On a high way we load it
Oh"
"You're A Mean One, Mr. Grinch",['Thurl Ravenscroft'],"
You're a mean one, Mr. Grinch
You really are a heel
You're as cuddly as a cactus, you're as charming as an eel, Mr. Grinch
You're a bad banana with a greasy black peel

You're a monster, Mr. Grinch
Your heart's an empty hole
Your brain is full of spiders, you've got garlic in your soul, Mr. Grinch
I wouldn't touch you with a thirty-nine-and-a-half-foot pole

You're a vile one, Mr. Grinch
You have termites in your smile
You have all the tender sweetness of a seasick crocodile, Mr. Grinch
Given a choice between the two of you
I'd take the seasick crocodile

You're a foul one, Mr. Grinch
You're a nasty-wasty skunk
Your heart is full of unwashed socks, your soul is full of gunk, Mr. Grinch
The three words that best describe you are as follows, and I quote, ""Stink, stank, stunk""

You're a rotter, Mr. Grinch
You're the king of sinful sots
Your heart's a dead tomato splotched with moldy purple spots, Mr. Grinch
Your soul is an appalling dump heap overflowing with the most disgraceful assortment of deplorable rubbish imaginable
Mangled up in tangled up knots

You nauseate me, Mr. Grinch
With a nauseous super ""naus""
You're a crooked jerky jockey and you drive a crooked hoss, Mr. Grinch
You're a three-decker sauerkraut and toadstool sandwich
With arsenic sauce"
What Is This Feeling?,"['Ariana Grande', 'Cynthia Erivo']","
Dearest, darlingest Momsie and Popsicle

My dear father

There's been some confusion over rooming here at Shiz

But of course, I'll care for Nessa

But of course, I'll rise above it

For I know that's how you'd want me to respond, yes
There's been some confusion for, you see, my roommate is

Unusually and exceedingly peculiar
And altogether quite impossible to describe

Blonde

What is this feeling, so sudden, and new?

I felt the moment I laid eyes on you

My pulse is rushing

My head is reeling

My face is flushing

What is this feeling?
Fervid as a flame
Does it have a name?
Yes
Loathing
Unadulterated loathing

For your face

Your voice

Your clothing

Let's just say
I loathe it all
Every little trait, however small
Makes my very flesh begin to crawl
With simple, utter loathing
There's a strange exhilaration
In such total detestation
It's so pure, so strong
Though I do admit, it came on fast
Still, I do believe that it can last
And I will be loathing
Loathing you my whole life long

Dear Galinda, you are just too good
How do you stand it? I don't think I could
She's a terror, she's a Tartar,
 
we don't mean to show a bias
But, Galinda, you're a martyr

Well, these things are sent to try us

Poor Galinda, forced to reside
With someone so disgusticified
We just want to tell you, we're all on your side
We share your loathing

What is this feeling, so sudden and new?

Unadulterated loathing

I felt the moment I laid eyes on you

For her face, her voice, her clothing

My pulse is rushing, my head is reeling 

We loathe it all

Oh, what is this feeling?

Every little trait, however small

Does it have a name?

Makes our very flesh begin to crawl

Yes

Ah

Loathing

Loathing

There's a strange exhilaration

Loathing

In such total detestation

Loathing

It's so pure, so strong

So strong

Though I do admit, it came on fast
Still, I do believe that it can last

And I will be 
loathing
 for forever
Loathing
 truly deeply
Loathing
 you 

My whole life long

Loathing
Unadulterated loathing

Boo!

Ah!"
Someone You Loved,['Lewis Capaldi'],"
I'm going under, and this time, I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to hear,  somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to hear
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved"
Happy Holiday/The Holiday Season,['Andy Williams'],"
Happy holiday
Happy holiday
While the merry bells keep ringing
Happy holidays to you

It's the holiday season
And Santa Claus is coming 'round
The Christmas snow is white on the ground
When ol' Santa gets into town
He'll be coming down the chimney, down


It's the holiday season
And Santa Claus has got a toy
For every good girl and good little boy
Santa's a great big bundle of joy
When he's coming down the chimney, down


He'll have a big fat pack upon his back
And lots of goodies for you and for me
So leave a peppermint stick for old St. Nick
Hanging on the Christmas tree

It's the holiday season

So hoop-dee-doo and dickory dock
And don't forget to hang up your sock
'Cause just exactly at 12 o'clock
He'll be coming down the chimney, down


He'll have a big fat pack upon his back
And lots of goodies for you and for me
So leave a peppermint stick for old St. Nick
Hanging on the Christmas tree

It's the holiday season

So hoop-dee-doo and dickory dock
And don't forget to hang up your sock
'Cause at just exactly at 12 o'clock
He'll be coming down the chimney
Coming down the chimney
Coming down the chimney, down

He'll have a big fat pack upon his back
And lots of goodies for you and me
So leave a peppermint stick for old St. Nick
Hanging on the Christmas tree

It's the holiday season
So hoop-dee-doo and hickory dock
And don't forget to hang up your sock
'Cause just exactly at 12 o'clock
He'll be coming down the chimney
Coming down the chimney
Coming down the chimney, down

He'll have a big fat pack upon his back
And lots of goodies for you and me
So leave a peppermint stick for old St. Nick
Hanging on the Christmas tree

Happy holiday
Happy holiday
While the merry bells keep ringing
Happy holidays to you
Happy holiday
Happy holiday
May the calendar keep bringing
Happy holidays to you
To you
Happy holiday
Happy holiday
Happy holiday"
Guess,"['Charli xcx', 'Billie Eilish']","
Hey, Billie, you there?
Uh-uh

You wanna guess the colour of my underwear
You wanna know what I got goin' on down there
Is it pretty in pink or all see-through?
Is it showin' off my brand-new lower-back tattoo?
You wanna put 'em in your mouth, pull 'em all down south
You wanna turn this shit out, that's what I'm talkin' about
Pu-pu-pu-put 'em in your mouth, pull 'em all down south
You wanna turn this shit out, that's what l'm talkin' about 

Try it, bite it, lick it, spit it
Pull it to the side and get all up in it
Wear 'em, post 'em, might remix it
Send 'em to The Dare, yeah, I think he's with it
Try it, bite it, lick it, spit it
Pull it to the side and get all up in it
Wear 'em, post 'em, might remix it
Eat it up for lunch, yeah, it's so delicious


Don't have to guess the color of your underwear
Already know what you've got goin' on down there
It's that lacy black pair with the little bows
The ones I picked out for you in Tokyo
I saw them when you sat down, they were peekin' out
I'm gonna tell you right now, they're all I'm thinkin' about

I wanna try it, bite it, lick it, spit it
Pull it to the side and get all up in it
Kiss it, ride it, can I fit it?
Charli likes boys, but she knows I'd hit it

Charli, call me if you're with it

Yeah, guess, 
guess
, guess, 
guess
, guess, 
guess, guess
, guess
Guess, 
guess
, guess, 
guess
, guess, 
guess, guess,
 guess
Guess, 
guess
, guess, 
guess
, guess, 
guess, guess
, guess
Guess, 
guess
, guess, 
guess
, guess, 
guess, guess, guess

You wanna guess what me and Billie have been textin' about? 
Still tryin' to guess the password to my Google Drive 
You wanna guess the address
 of the party we're at 
You wanna guess if we're serious 
about this
 song"
Fortnight,"['Taylor Swift', 'Post Malone']","
I was supposed to be sent away
But they forgot to come and get me
I was a functioning alcoholic
'Til nobody noticed my new aesthetic
All of this to say I hope you're okay
But you're the reason
And no one here's to blame
But what about your quiet treason?

And for a fortnight there, we were forever
Run into you sometimes, ask about the weather
Now you're in my backyard, turned into good neighbors
Your wife waters flowers, I wanna kill her

All my mornings are Mondays stuck in an 
endless February
I took the miracle move-on drug, the 
effects were temporary
And I love you, it's ruining my life
I love you, it's ruining my life
I touched you for only a fortnight
I touched you
, but I touched you

And for a fortnight there, 
we were forever
Run into you sometimes, ask 
about the weather
Now you're in my backyard, turned 
into good neighbors
Your wife waters flowers, I wanna kill her
And for a fortnight there, 
we were together
Run into you sometimes, comment on my sweater
Now you're at the mailbox, turned into good neighbors
My husband is cheating, I wanna kill him

I love you, it's ruining my life
I love you, it's ruining my life
I touched you for only a fortnight
I touched you, I touched you
I love you, it's ruining my life
I love you, it's ruining my life
I touched you for only a fortnight
I touched you, I touched you

Thought of callin' ya, but you won't pick up
'Nother fortnight lost in America
Move to Florida,
 
buy the car you want
But it won't start up 'til you 
touch, touch, touch me
Thought of calling ya, but you won't pick up
'Nother fortnight lost in America
Move to Florida,
 
buy the car you want
But it won't start up 'til I touch, touch, touch you"
Winter Ahead,['V With Park Hyo Shin'],"

Lie with me
By the fire
We can be
Safe from the storms up high
There's a winter ahead
If it's cold and wet
We're always warm here, side by side

Come what may
Change of heart
Who can say
If you look in my eyes
For the moon and the stars
Hearing strumming guitars
Well, I admit that it'd be nice

I'll be with you
Until the spring runs by
And the summer starts to burn
I'll be with you
When the autumn wind returns
Don't you want to say you'll stay?

Lie with me
By the fire
We can be
Safe from the storms up high
There's a winter ahead
Whether it's cold and wet
We're always warm in paradise
Paradise


I'll be with you
Until the spring runs by
And the summer starts to burn
And I'll be with you
When autumn returns
Yes, when all the seasons turn

Come what may
Change of heart
Who can say
If you look in my eyes
For the truth in my heart
From a world far apart
You'll realize where you can find
Paradise, mmm
Paradise"
Blue,['yung kai'],"
Hello, it's me
I was wondering if, after all these years, you'd like to meet
To go over everything
They say that time's supposed to heal ya
But I ain't done much healin'
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet

There's such a difference between us
And a million miles

Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least, I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town
Where nothing ever happened?

It's no secret that the both of us
Are running out of time

So hello from the other side 
I must've called a thousand times 
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside 
At least, I can say that I've tried 
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

 Ooh, anymore
 Ooh, anymore
 Ooh, anymore
 Anymore

Hello from the other side 
I must've called a thousand times 
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside 
At least, I can say that I've tried 
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
"
No Pole,['Don Toliver'],"
Yeah, uh-uh, uh-uh
Uh-uh, yeah-yeah, yeah-yeah
Uh-uh, yeah

She don't wanna strip no more, don't wanna hit that pole 
Hit my old plug, I get it in and go 
Shawty owe me something, better pay your toll 
I lick the spoon and I scrape the bowl 
Scrape the bowl , scrape the bowl 

Like, did you get the memo?
She eat at out of the relay
I'm poppin' hella Skittles
Then I can solve your riddle
We'll smoke you like it's menthol
This dude is crazy mental
A suave, hood hеro
Got Johnny Dang dental
She's a nympho
She slobbin' on hеr pillow
Got chicken, Rob' De Niro
She's too gone and she can't hear you 

She don't wanna strip no more, don't wanna hit that pole
Hit my old plug, I get it in and go
She don't wanna strip no more, don't wanna hit that pole 
Hit my old plug, I get it in and go 
Shawty owe me something, better pay your toll 
I lick the spoon and I scrape the bowl 
Scrape the bowl , scrape the bowl 

Seein' way too many ones
I'm 'bout to throw some hundreds
 
In that old life that you run from
Baby girl, keep running 
It's pressure with me, sexually 
Check my bank account , it's precious to me
I got my anchor out , I'm locked in your sea
You know you're my baby now, you're special to me
I bought you time, I bought you diamonds, you can keep the receipt
I got you down, I got you loose, I guess you owe it to me
Is you down or nah? Fuck around, find your spot
I get you lit, lit, drunk, trip
Watch me slip inside

She don't wanna strip no more, don't wanna hit that pole 
Hit my old plug, I get it in and go 
Shawty owe me something, better pay your toll 
I lick the spoon and I scrape the bowl 
Scrape the bowl , scrape the bowl 

And I sent her away
Pull out, sent her on her way
She don't wanna hit the strip club, no, no
She don't wanna go strip, no, no
She don't wanna go strip, no way"
I Remember Everything,"['Zach Bryan', 'Kacey Musgraves']","
Rotgut whiskey's gonna ease my mind
Beach towel rests on the dryin' line
Do I remind you of your daddy in his '88 Ford?
Labrador hangin' out the passenger door
The sand from your hair is blowin' in my eyes
Blame it on the beach, grown men don't cry
Do you remember that beat-down basement couch?
I'd sing you my love songs and you'd tell me about
How your mama ran off and pawned her ring
I remember, I remember everything

A cold shoulder at closing time
You were bеggin' me to stay 'til the sun rose
Strangе words come on out
Of a grown man's mouth when his mind's broke
Pictures and passin' time
You only smile like that when you're drinkin'
I wish I didn't, but I do
Remember every moment on the nights with you

You're drinkin' everything to ease your mind
But when the hell are you gonna ease mine?
You're like concrete feet in the summer heat
It burns like hell when two souls meet
No, you'll never be the man that you always swore
But I'll remember you singin' in that '88 Ford

A cold shoulder at closing time
You were beggin' me to stay 'til the sun rose
Strange words come on out
Of a grown man's mouth when his mind's broke
Pictures and passin' time
You only smile like that when you're drinkin'
I wish I didn't, but I do
Remember every moment on the nights with you
Cold shoulder at closing time
You were beggin' me to stay 'til the sun rose
Strange words come on out
Of a grown man's mouth when his mind's broke
Pictures and passin' time
You only smile like that when you're drinkin'
I wish I didn't, but I do
Remember every moment on the nights with you

Rotgut whiskey's gonna ease my mind
Beach towel rests on the dryin' line
Do I remind you of your daddy in my '88 Ford?
Labrador hangin' out the passenger door"
Gervonta,['Peso Pluma'],"


Pura doncella que le gusta portarse mal
Y una morena que no se sabe comportar
Gloss y labial, anda high, de la Fly prendí un gallo
Cómo pez en el agua, andamos todos bajo el radar
Un italiano que me mueve por la ciudad
Modo Al Capone, mafiosón y en Japón turisteando

Criptomonedas me llegan
Y en primera fila viendo a Gervonta en Las Vegas
Brillando, reloj suizo en la muñeca
Y en jet privado porque el tiempo vuela


Morras en jacuzzi, los plebes con Uzi y SCAR
Más fiestas privadas, Marca Registrada, papá
Pa' parrandear, molly y wax, tropical tronó el foco
Encapuchado, camellando allá por Dubái
Vale verga el qué digan, malgastamos, ya lo dirán
Como Aladdín, volando en el Jeep
Cuerno Duvalín, va de pasajero

Criptomonedas me llegan
Y en primera fila viendo a Gervonta en Las Vegas
Brillando, reloj suizo en la muñeca
Y en jet privado porque el tiempo vuela
"
Santa Claus Is Comin' To Town,['Bruce Springsteen'],"
It's all cold down on the beach
The wind's whipping down the boardwalk
Hey Band! You guys know what time of year it is?
What time, what? What?
Christmastime!
What? Oh, Christmastime!
You guys, all, you guys all been good and practicing real hard?
Yeah?
Clarence, you been, you been rehearsing real hard now?
So Santa'll bring you a new saxophone, right?
Everyone out there been good or what?
Aw, that's not many, not many, you guys are in trouble out here

Yeah, you'd better watch out, you'd better not cry
You'd better not pout, I'm telling you why
Santa Claus is coming to town
Santa Claus is coming to town
Santa Claus is coming to town

He's making a list, he's checking it twice
He's gonna find out who's naughty or nice
Santa Claus is coming to town
Santa Claus is coming to town
Santa Claus is coming to town

He sees you when you're sleeping
He knows when you're awake
He knows if you've been bad or good
You better be good for goodness sake!
You better be good for goodness sake!

Oh, you'd better watch out, you'd better not cry
You'd better not pout, I'm telling you why
Santa Claus is coming to town
Santa Claus is coming to town
Santa Claus is coming to town
Ho, ho, ho, ho!


He sees you when you're sleeping
He knows when you're awake
He knows if you've been bad or good
You better be good for goodness sake!
You better be good for goodness sake!

You'd better watch out, you'd better not cry
You'd better not pout, I'm telling you why
Santa Claus is coming to town, yeah
Santa Claus is coming to town
Santa Claus is coming to town

Ho, ho, ho, ho, ho, ho
Santa Claus is coming to town 
Ho, ho, ho, ho, ho, ho
Santa Claus is coming to town 
Ho, ho, ho, ho, ho, ho
Santa Claus is coming to town 
Ho, ho, ho, ho, ho, ho
Santa Claus is coming to town 
Ho, ho, ho, ho, ho, ho
Santa Claus is coming to town
Santa Claus is coming to town 
Ho, ho, ho, ho, ho, ho
Santa Claus is coming to town 
Ho, ho, ho, ho, ho, ho
Santa Claus is coming to town
Oh!
Santa Claus is coming to town
Yeah!
Santa Claus is coming to town
Yeah!
Santa Claus is coming to town
Whoa-oh-oh!
Santa Claus is coming to town"
Sunflower (Spider-Man: Into The Spider-Verse),"['Post Malone', 'Swae Lee']","New artists
i discovered 441 new artist this year
My top genres
1. Pop
2. K-Pop
3. Thai Pop
4. Rap
5. Korean Rap
My top song
my top song of this year is Phonecert
first stream
 → Jan 5
100th stream
 → Feb 4
day with most streams
 → Feb 4
total streams
 → 192
My top 5 songs
1. 
Phonecert
2. 
Kick It
3. 
eight
4. 
Honesty
5. 
Her
Total Stream 
62,206 minutes
My top artists
My top artist
 → 
Rich Brian
 
top streamed song
 → 
BALI
1. 
Rich Brian
2. 
IU
3. 
NCT 127
4. 
Why Don't We
5. 
HRVY
My top 100 songs 2020
1. Phonecert
2. Kick It
3. eight
4. Honesty
5. Her
6. Done For Me
7. BBIBBI
8. ชอบ RACKS
9. BALI
10. WAYO
11. นิโคติน
12. Palette
13. 100 Degrees
14. death bed 
15. How Can I
16. wish you were gay
17. Make A Wish 
18. Honey
19. Mad City
20. 2 The Face
21. Psycho
22. Simon Dominic
23. Human
24. comethru
25. Drive Safe
26. If You Know That I'm Lonely
27. Can't Tell Me Nuttin'
28. I Won't Give Up
29. Best Part
30. ไม่เฟี้ยว
31. วิภาวดี
32. Mystery of Love
33. Goodbyes
34. Call You Mine
35. All about you
36. Inception
37. Who That Be
38. ไมโครโฟน
39. 11:11
40. A Rocket to the Moon
41. Love In My Pocket
42. Young & Dumb
43. Lover Boy
44. All I Wanna Do
45. all the kids are depressed
46. Sunflower
47. What Am I
48. ดูไว้
49. Love Deluna
50. Our First Song
51. Serendipity
52. Chivalry Is Dead
53. I'm Not Sorry
54. Rain
55. Don't Need Your Love
56. Congratulations
57. 3:00 AM
58. LOVE SCENARIO
59. Love Light
60. Sweet but Psycho
61. เฉยเมย
62. Chilly
63. Don't
64. Eyes, Nose, Lips
65. It's You
66. Familiar
67. comethru 
68. Where We Land
69. ธารารัตน์
70. คนนั้น
71. Easily
72. So Am I
73. KILLING ME
74. HUMBLE.
75. Blueberry Faygo
76. Sunflower - Spider-Man: Into the Spider-Verse
77. 100 Ways
78. Tiger Inside
79. Can You See My Heart
80. PAID MY DUES
81. Slow Down
82. rockstar
83. If You Wonder
84. Let Me Down Slowly
85. 2411
86. my ex's best friend
87. Sometimes
88. Blueming
89. Lean on me
90. I Love You 3000
91. Another Day
92. I miss the old u
93. Easy
94. Beautiful
95. Sunday Best
96. Paris in the Rain
97. Yellow
98. Ms. Seductive
99. Kings & Queens
100. Psycho"
